step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
830000,215,-24.0541,-3.7142,3849.7,0.200000
835000,216,-23.0310,-3.7142,3864.1,0.200000
840000,216,-23.2659,-3.7142,3878.1,0.200000
845000,216,-22.4840,-3.7142,3908.1,0.200000
850000,216,-22.5843,-3.7142,3922.7,0.200000
855000,217,-19.3613,-3.7142,3936.5,0.200000
860000,217,-20.2018,-3.7142,3951.9,0.200000
865000,217,-21.5976,-3.7142,3982.5,0.200000
870000,217,-22.4769,-3.7142,3997.3,0.200000
875000,218,-24.3640,-3.7142,4011.7,0.200000
880000,218,-24.5325,-3.7142,4026.7,0.200000
885000,218,-22.0491,-3.7142,4057.4,0.200000
890000,218,-20.0927,-3.7142,4072.1,0.200000
895000,219,-19.9059,-3.7142,4086.0,0.200000
900000,219,-21.0883,-3.7142,4101.1,0.200000
905000,218,-21.8582,-3.7142,4133.2,0.200000
910000,219,-22.0717,-3.7142,4147.6,0.200000
915000,219,-20.8559,-3.7142,4160.1,0.200000
920000,220,-20.5589,-3.7142,4173.9,0.200000
925000,220,-22.0195,-3.7142,4202.1,0.200000
930000,220,-22.7356,-3.7142,4217.3,0.200000
935000,220,-24.7037,-3.7142,4231.3,0.200000
940000,221,-24.5684,-3.7142,4247.7,0.200000
945000,220,-22.1131,-3.7142,4279.2,0.200000
950000,221,-18.6558,-3.7142,4294.1,0.200000
955000,221,-17.7507,-3.7142,4309.7,0.200000
960000,221,-17.0414,-3.7142,4325.3,0.200000
965000,221,-19.8138,-2.9875,4356.5,0.200000
970000,221,-20.8125,-2.9875,4370.2,0.200000
975000,222,-20.1361,-2.9875,4384.5,0.200000
980000,222,-18.5379,-2.9875,4399.5,0.200000
985000,222,-21.3242,-2.9875,4430.3,0.200000
990000,222,-21.7482,-2.9875,4444.7,0.200000
995000,223,-23.7450,-2.9875,4459.9,0.200000
1000000,223,-22.6101,-2.9875,4474.4,0.200000
1005000,223,-19.1995,-2.9875,4504.3,0.200000
1010000,223,-20.2610,-2.9875,4518.7,0.200000
1015000,223,-20.1642,-2.9875,4533.2,0.200000
1020000,224,-21.4880,-2.9875,4548.7,0.200000
1025000,223,-23.5281,-2.9875,4577.6,0.200000
1030000,224,-23.1330,-2.9875,4592.4,0.200000
1035000,224,-21.0173,-2.9875,4607.6,0.200000
1040000,225,-20.6062,-2.9875,4622.2,0.200000
1045000,224,-19.0607,-2.9875,4651.7,0.200000
1050000,225,-20.2049,-2.9875,4666.2,0.200000
1055000,225,-23.1098,-2.9875,4680.7,0.200000
1060000,225,-21.7467,-2.9875,4695.5,0.200000
1065000,225,-22.5317,-2.9875,4726.6,0.200000
