step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
1250000,149,11.5967,4.9307,8374.6,0.009802
1255000,149,10.5054,4.9307,8390.2,0.009789
1260000,149,8.0912,4.9307,8406.3,0.009880
1265000,150,7.3530,5.6150,8428.5,0.009876
1270000,150,8.1713,5.6150,8444.7,0.009819
1275000,150,5.7330,5.6150,8460.3,0.009875
1280000,151,10.3430,5.6150,8476.0,0.010042
1285000,151,9.7632,5.6150,8497.9,0.010132
1290000,151,8.4718,5.6150,8513.9,0.009892
1295000,151,9.9455,5.6150,8528.4,0.010036
1300000,152,8.2532,5.6150,8543.9,0.010112
1305000,152,5.4589,5.6150,8567.0,0.010113
1310000,152,7.1856,5.6150,8583.1,0.010150
1315000,152,10.5654,5.6150,8597.0,0.010102
1320000,153,11.3405,5.6150,8613.1,0.010150
1325000,153,11.2550,5.6150,8634.6,0.010243
1330000,153,9.4333,5.6150,8650.6,0.010034
1335000,154,6.3707,5.6150,8664.7,0.010273
1340000,154,6.2426,5.6150,8680.4,0.010187
1345000,154,8.9288,5.6150,8702.7,0.010442
1350000,154,10.2041,5.6150,8719.1,0.010459
1355000,155,9.7741,5.6150,8733.3,0.010408
1360000,155,7.2714,5.6150,8749.9,0.010358
1365000,155,8.3191,6.1684,8771.5,0.010374
1370000,155,11.1233,6.1684,8787.7,0.010377
1375000,156,11.0732,6.1684,8801.7,0.010366
1380000,156,9.8606,6.1684,8817.6,0.010395
1385000,156,9.2052,6.1684,8839.8,0.010432
1390000,156,10.7011,6.1684,8855.8,0.010491
1395000,157,9.2196,6.1684,8870.0,0.010476
1400000,157,9.8139,6.1684,8885.9,0.010349
1405000,157,9.0351,6.1785,8908.1,0.010648
1410000,157,10.7059,6.1785,8924.1,0.010636
1415000,158,9.8896,6.1785,8938.3,0.010485
1420000,158,11.1092,6.1785,8955.2,0.010581
1425000,158,12.3672,6.2024,8977.7,0.010796
1430000,158,10.7296,6.2024,8994.8,0.010723
1435000,159,12.0082,6.2024,9009.1,0.010687
1440000,159,11.3668,6.2024,9025.3,0.010553
1445000,159,10.8707,6.2024,9047.8,0.010593
1450000,159,10.6650,6.2024,9064.1,0.010644
1455000,160,8.4978,6.2024,9078.5,0.010736
1460000,160,8.5308,6.2024,9094.8,0.010786
1465000,160,11.3806,6.2024,9117.2,0.010749
1470000,160,10.8236,6.2024,9133.0,0.010766
1475000,161,9.9881,6.2024,9148.0,0.010742
1480000,161,9.6380,6.2024,9164.2,0.010699
1485000,161,9.8584,6.2024,9185.1,0.010944
1490000,161,9.8643,6.2024,9200.3,0.010815
1495000,162,12.2432,6.2024,9215.3,0.010864
1500000,162,11.8194,6.2024,9231.5,0.010832
1505000,162,12.3030,6.2024,9252.3,0.010959
1510000,162,11.3701,6.2024,9267.1,0.010884
1515000,163,11.7659,6.2024,9282.2,0.010725
1520000,163,12.5336,6.2024,9299.5,0.010903
1525000,163,12.8373,6.2024,9321.7,0.011019
1530000,163,11.0099,6.2024,9336.1,0.011015
1535000,164,9.5420,6.2024,9352.5,0.011113
1540000,164,11.5251,6.2024,9368.4,0.011011
1545000,164,10.9770,6.3145,9389.5,0.010954
1550000,164,12.2345,6.3145,9403.9,0.011141
1555000,165,10.0416,6.3145,9419.1,0.011040
1560000,165,11.6050,6.3145,9435.2,0.011222
1565000,165,10.2610,6.3145,9456.4,0.011167
1570000,165,10.1458,6.3145,9471.3,0.011199
1575000,166,10.9901,6.3145,9487.3,0.011268
1580000,166,12.9278,6.3145,9503.9,0.011328
1585000,166,12.6928,6.3145,9525.2,0.011378
1590000,166,14.8086,6.3145,9539.6,0.011447
1595000,166,12.1789,6.3145,9555.7,0.011247
1600000,167,12.2055,6.3145,9571.9,0.011473
1605000,167,12.3825,7.6003,9594.7,0.011427
1610000,167,11.9947,7.6003,9609.5,0.011353
1615000,167,12.5336,7.6003,9625.9,0.011328
1620000,168,13.6121,7.6003,9642.0,0.011663
1625000,168,12.8389,7.6003,9663.8,0.011667
1630000,168,13.1311,7.6003,9678.4,0.011517
1635000,168,13.1454,7.6003,9694.4,0.011483
1640000,168,13.0776,7.6003,9710.3,0.011429
1645000,169,13.4215,7.6003,9731.5,0.011650
1650000,169,12.9947,7.6003,9745.3,0.011632
1655000,169,13.1650,7.6003,9761.3,0.011536
1660000,169,12.6950,7.6003,9777.3,0.011693
1665000,169,12.8737,7.6003,9798.9,0.011689
1670000,170,10.6600,7.6003,9812.9,0.011715
1675000,170,12.2790,7.6003,9829.1,0.011899
1680000,170,11.7959,7.6003,9845.1,0.011731
1685000,170,12.2086,7.6003,9866.4,0.011745
1690000,171,12.9982,7.6003,9880.3,0.011928
1695000,171,11.5948,7.6003,9897.7,0.012005
1700000,171,13.9219,7.6003,9914.2,0.012019
1705000,171,12.9411,7.6003,9935.6,0.011916
1710000,171,12.2969,7.6003,9950.6,0.011922
1715000,172,11.9646,7.6003,9966.9,0.012004
1720000,172,13.6591,7.6003,9983.2,0.012059
1725000,172,15.6731,7.6003,10004.4,0.011927
1730000,172,15.4140,7.6003,10018.4,0.012086
1735000,172,13.4756,7.6003,10034.4,0.012079
1740000,173,13.2189,7.6003,10050.6,0.012075
1745000,173,14.0185,7.7225,10071.4,0.012355
1750000,173,11.7610,7.7225,10085.4,0.012165
1755000,173,13.8202,7.7225,10101.6,0.012144
1760000,173,13.1304,7.7225,10117.8,0.012289
1765000,174,10.6653,7.7556,10138.7,0.011886
1770000,174,13.7254,7.7556,10152.7,0.012112
1775000,174,15.5566,7.7556,10169.0,0.012266
1780000,174,16.6178,7.7556,10185.0,0.012207
1785000,174,14.3274,7.7556,10206.4,0.012195
1790000,175,14.5646,7.7556,10221.6,0.012339
1795000,175,13.4275,7.7556,10238.3,0.012566
1800000,175,14.3915,7.7556,10255.7,0.012306
1805000,175,15.8366,7.7556,10276.9,0.012328
1810000,175,15.2324,7.7556,10291.4,0.012414
1815000,176,14.4256,7.7556,10307.1,0.012455
1820000,176,14.5841,7.7556,10323.2,0.012390
1825000,176,13.6981,7.7556,10343.9,0.012275
1830000,176,13.2747,7.7556,10357.9,0.012428
1835000,176,13.4142,7.7556,10374.0,0.012301
1840000,177,14.7832,7.7556,10390.1,0.012561
1845000,177,15.1162,7.7556,10410.7,0.012597
1850000,177,13.4301,7.7556,10425.0,0.012593
1855000,177,16.0984,7.7556,10441.0,0.012618
1860000,177,15.0363,7.7556,10457.0,0.012687
1865000,178,15.0576,7.7705,10477.0,0.012619
1870000,178,14.2592,7.7705,10491.6,0.012521
1875000,178,14.8179,7.7705,10508.4,0.012645
1880000,178,14.4655,7.7705,10524.4,0.012721
1885000,178,15.2446,7.7705,10546.1,0.012676
1890000,178,15.5045,7.7705,10562.1,0.012663
1895000,179,14.9971,7.7705,10578.5,0.012562
1900000,179,16.0990,7.7705,10594.6,0.012656
1905000,179,15.7161,8.0146,10614.7,0.012687
1910000,179,15.6479,8.0146,10628.9,0.012732
1915000,179,16.3914,8.0146,10644.9,0.012730
1920000,180,16.1989,8.0146,10660.9,0.012612
1925000,180,15.8747,8.0579,10681.6,0.012842
1930000,180,15.9414,8.0579,10695.9,0.012740
1935000,180,14.2628,8.0579,10712.0,0.012771
1940000,180,14.4493,8.0579,10727.9,0.012799
1945000,180,14.7053,8.0579,10748.4,0.012825
1950000,181,15.1168,8.0579,10762.1,0.012903
1955000,181,16.1584,8.0579,10774.2,0.012842
1960000,181,16.7676,8.0579,10786.1,0.012982
1965000,181,14.6778,8.0579,10802.4,0.013054
1970000,182,15.3334,8.0579,10814.5,0.013043
1975000,182,13.8467,8.0579,10826.5,0.013108
1980000,182,15.1171,8.0579,10838.5,0.013136
1985000,182,15.5759,8.4625,10854.6,0.013080
1990000,183,16.6670,8.4625,10867.0,0.013058
1995000,183,16.8112,8.4625,10879.4,0.013057
2000000,183,17.2044,8.4625,10891.6,0.013111
